date,state_code
2020-04-12,nm
2020-04-12,nv
2020-04-12,ny
2020-04-12,oh
2020-04-12,ok
2020-04-12,or
2020-04-12,pa
2020-04-12,sc
2020-04-12,tn
2020-04-12,tx
2020-04-12,ut
2020-04-12,va
2020-04-12,wa
2020-04-12,wi
2020-04-12,wv
2020-04-13,ak
2020-04-13,al
2020-04-13,ar
2020-04-13,az
2020-04-13,ca
2020-04-13,co
2020-04-13,ct
2020-04-13,dc
2020-04-13,de
2020-04-13,fl
2020-04-13,ga
2020-04-13,hi
2020-04-13,ia
2020-04-13,id
2020-04-13,il
2020-04-13,in
2020-04-13,ks
2020-04-13,ky
2020-04-13,la
2020-04-13,ma
2020-04-13,md
2020-04-13,me
2020-04-13,mi
2020-04-13,mn
2020-04-13,mo
2020-04-13,ms
2020-04-13,mt
2020-04-13,nc
2020-04-13,nd
2020-04-13,ne
2020-04-13,nh
2020-04-13,nj
2020-04-13,nm
2020-04-13,nv
2020-04-13,ny
2020-04-13,oh
2020-04-13,ok
2020-04-13,or
2020-04-13,pa
2020-04-13,ri
2020-04-13,sc
2020-04-13,sd
2020-04-13,tn
2020-04-13,tx
2020-04-13,ut
2020-04-13,va
2020-04-13,vt
2020-04-13,wa
2020-04-13,wi
2020-04-13,wv
2020-04-13,wy
2020-04-14,ak
2020-04-14,al
2020-04-14,ar
2020-04-14,az
2020-04-14,ca
2020-04-14,co
2020-04-14,ct
2020-04-14,dc
2020-04-14,de
2020-04-14,fl
2020-04-14,ga
2020-04-14,hi
2020-04-14,ia
2020-04-14,id
2020-04-14,il
2020-04-14,in
2020-04-14,ks
2020-04-14,ky
2020-04-14,la
2020-04-14,ma
2020-04-14,md
2020-04-14,me
2020-04-14,mi
2020-04-14,mn
2020-04-14,mo
2020-04-14,ms
2020-04-14,mt
2020-04-14,nc
2020-04-14,nd
2020-04-14,ne
2020-04-14,nh
2020-04-14,nj
2020-04-14,nm
2020-04-14,nv
2020-04-14,ny
2020-04-14,oh
2020-04-14,ok
2020-04-14,or
2020-04-14,pa
2020-04-14,ri
2020-04-14,sc
2020-04-14,sd
2020-04-14,tn
2020-04-14,tx
2020-04-14,ut
2020-04-14,va
2020-04-14,vt
2020-04-14,wa
2020-04-14,wi
2020-04-14,wv
2020-04-14,wy
2020-04-15,ak
2020-04-15,al
2020-04-15,ar
2020-04-15,az
2020-04-15,ca
2020-04-15,co
2020-04-15,ct
2020-04-15,dc
2020-04-15,de
2020-04-15,fl
2020-04-15,ga
2020-04-15,hi
2020-04-15,ia
2020-04-15,id
2020-04-15,il
2020-04-15,in
2020-04-15,ks
2020-04-15,ky
2020-04-15,la
2020-04-15,ma
2020-04-15,md
2020-04-15,me
2020-04-15,mi
2020-04-15,mn
2020-04-15,mo
2020-04-15,ms
2020-04-15,mt
2020-04-15,nc
2020-04-15,nd
2020-04-15,ne
2020-04-15,nh
2020-04-15,nj
2020-04-15,nm
2020-04-15,nv
2020-04-15,ny
2020-04-15,oh
2020-04-15,ok
2020-04-15,or
2020-04-15,pa
2020-04-15,ri
2020-04-15,sc
2020-04-15,sd
2020-04-15,tn
2020-04-15,tx
2020-04-15,ut
2020-04-15,va
2020-04-15,vt
2020-04-15,wa
2020-04-15,wi
2020-04-15,wv
2020-04-15,wy
2020-04-16,ak
2020-04-16,al
2020-04-16,ar
2020-04-16,az
2020-04-16,ca
2020-04-16,co
2020-04-16,ct
2020-04-16,dc
2020-04-16,de
2020-04-16,fl
2020-04-16,ga
2020-04-16,hi
2020-04-16,ia
2020-04-16,id
2020-04-16,il
2020-04-16,in
2020-04-16,ks
2020-04-16,ky
2020-04-16,la
2020-04-16,ma
2020-04-16,md
2020-04-16,me
2020-04-16,mi
2020-04-16,mn
2020-04-16,mo
2020-04-16,ms
2020-04-16,mt
2020-04-16,nc
2020-04-16,nd
2020-04-16,ne
2020-04-16,nh
2020-04-16,nj
2020-04-16,nm
2020-04-16,nv
2020-04-16,ny
2020-04-16,oh
2020-04-16,ok
2020-04-16,or
2020-04-16,pa
2020-04-16,ri
2020-04-16,sc
2020-04-16,sd
2020-04-16,tn
2020-04-16,tx
2020-04-16,ut
2020-04-16,va
2020-04-16,vt
2020-04-16,wa
2020-04-16,wi
2020-04-16,wv
2020-04-16,wy
2020-04-17,ak
2020-04-17,al
2020-04-17,ar
2020-04-17,az
2020-04-17,ca
2020-04-17,co
2020-04-17,ct
2020-04-17,de
2020-04-17,fl
2020-04-17,ga
2020-04-17,hi
2020-04-17,ia
2020-04-17,id
2020-04-17,il
2020-04-17,in
2020-04-17,ks
2020-04-17,ky
2020-04-17,la
2020-04-17,ma
2020-04-17,md
2020-04-17,me
2020-04-17,mi
2020-04-17,mn
2020-04-17,mo
2020-04-17,ms
2020-04-17,mt
2020-04-17,nc
2020-04-17,nd
2020-04-17,ne
2020-04-17,nh
2020-04-17,nj
2020-04-17,nm
2020-04-17,nv
2020-04-17,ny
2020-04-17,oh
2020-04-17,ok
2020-04-17,or
2020-04-17,pa
2020-04-17,ri
2020-04-17,sc
2020-04-17,sd
2020-04-17,tn
2020-04-17,tx
2020-04-17,ut
2020-04-17,va
2020-04-17,vt
2020-04-17,wa
2020-04-17,wi
2020-04-17,wv
2020-04-17,wy
2020-04-18,ak
2020-04-18,al
2020-04-18,ar
2020-04-18,az
2020-04-18,ca
2020-04-18,co
2020-04-18,ct
2020-04-18,de
2020-04-18,fl
2020-04-18,ga
2020-04-18,hi
2020-04-18,ia
2020-04-18,id
2020-04-18,il
2020-04-18,in
2020-04-18,ks
2020-04-18,ky
2020-04-18,la
2020-04-18,ma
2020-04-18,md
2020-04-18,me
2020-04-18,mi
2020-04-18,mn
2020-04-18,mo
2020-04-18,ms
2020-04-18,mt
2020-04-18,nc
2020-04-18,nd
2020-04-18,ne
2020-04-18,nh
2020-04-18,nj
2020-04-18,nm
2020-04-18,nv
2020-04-18,ny
2020-04-18,oh
2020-04-18,ok
2020-04-18,or
2020-04-18,pa
2020-04-18,ri
2020-04-18,sc
2020-04-18,sd
2020-04-18,tn
2020-04-18,tx
2020-04-18,ut
2020-04-18,va
2020-04-18,vt
2020-04-18,wa
2020-04-18,wi
2020-04-18,wv
2020-04-18,wy
2020-04-19,ak
2020-04-19,al
2020-04-19,ar
2020-04-19,az
2020-04-19,ca
2020-04-19,co
2020-04-19,ct
2020-04-19,de
2020-04-19,fl
2020-04-19,ga
2020-04-19,hi
2020-04-19,ia
2020-04-19,id
2020-04-19,il
2020-04-19,in
2020-04-19,ks
2020-04-19,ky
2020-04-19,la
2020-04-19,ma
2020-04-19,md
2020-04-19,me
2020-04-19,mi
2020-04-19,mn
2020-04-19,mo
2020-04-19,ms
2020-04-19,mt
2020-04-19,nc
2020-04-19,nd
2020-04-19,ne
